mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,DV_exact,wilc_CitricAcid,resp_binCitricAcid,sign_binCitricAcid,sign_CitricAcid,latCitricAcid,resp_CitricAcid,wilc_NaCl,resp_binNaCl,sign_binNaCl,sign_NaCl,latNaCl,resp_NaCl,wilc_Quinine,resp_binQuinine,sign_binQuinine,sign_Quinine,latQuinine,resp_Quinine,wilc_Sucrose,resp_binSucrose,sign_binSucrose,sign_Sucrose,latSucrose,resp_Sucrose,wilc_Cold,resp_binCold,sign_binCold,sign_Cold,latCold,resp_Cold,wilc_Hot,resp_binHot,sign_binHot,sign_Hot,latHot,resp_Hot,95% shuffle,flag_Taste,SVM_Taste,SVM_Taste_95%_shuffle,flag_Temp,SVM_Temp,SVM_Temp_95%_shuffle,AnovaTasteRoom,SI,PI,AnovaTemp
CB340,M,30623,tetrodes,taste_room_and_temp,7,2.782054635,24.45891764,TRUE,0,0,0,none,-6.696022727,0.85,-0.198351365,waveforms_7.npy,,"[0.3197670634951788, 0.08203664585103046, 0.16279692662103762, 0.3200384755260307]",[],"[0, 0, 0, 0]",0,,0,"[0.5929800980174267, 0.3200384755260307, 0.3200384755260307, 0.03966925656449891]",[],"[0, 0, 0, 0]",0,,0,"[0.3197670634951788, 0.5929800980174267, 0.04154006700988516, 0.007202886624972522]",[],"[0, 0, 0, 0]",0,,0,"[0.7101974349651314, 0.9622331847310976, 0.2577619166067666, 0.2970571807973158]",[],"[0, 0, 0, 0]",0,,0,"[0.6805357584893331, 0.54344967039732, 0.06903279033037471, 0.09610987170557288]",[],"[0, 0, 0, 0]",0,,0,"[0.1381057172247833, 0.919283487992782, 0.2018910134319395, 0.21109902860205865]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30623,tetrodes,taste_room_and_temp,8,1.307428631,8.058479464,TRUE,0.106898687,0.000548188,1,none,-2.200434783,1.025,-0.182432432,waveforms_8.npy,,"[0.10582150588902979, 0.18948764113539285, 0.32274805351112157, 0.09597088613776864]",[],"[0, 0, 0, 0]",0,,0,"[0.08187649498305974, 0.16052618695163845, 0.30050874845239084, 0.314038932973563]",[],"[0, 0, 0, 0]",0,,0,"[0.2809554949294315, 0.08780141825756142, 0.09020140484291456, 0.021956318572859897]",[],"[0, 0, 0, 0]",0,,0,"[0.2807126652684958, 0.09580271710604905, 0.021956318572859897, 0.021756145444375607]",[],"[0, 0, 0, 0]",0,,0,"[0.1808052753363275, 0.07262955529356216, 0.13754945627490078, 0.22897890285833644]",[],"[0, 0, 0, 0]",0,,0,"[0.850674932384287, 0.6572909708230026, 0.2419260825403139, 0.7413320220074396]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30623,tetrodes,taste_room_and_temp,10,1.73611173,20.98919403,TRUE,0,0,0,none,-8.349933155,0.725,-0.256668344,waveforms_10.npy,,"[0.5929800980174267, 0.16347891095622624, 0.007202886624972522, 0.003516226905004958]",[],"[0, 0, 0, 0]",0,,0,"[0.6093947909288484, 0.16279692662103762, 0.16279692662103762, 0.16279692662103762]",[],"[0, 0, 0, 0]",0,,0,"[0.08203664585103046, 0.08155620037935116, 0.08203664585103046, 0.08155620037935116]",[],"[0, 0, 0, 0]",0,,0,"[0.3200384755260307, 0.5929800980174267, 1.0, 1.0]",[],"[0, 0, 0, 0]",0,,0,"[0.6963890414620633, 0.6698153575994166, 0.6805357584893331, 0.2909274292577019]",[],"[0, 0, 0, 0]",0,,0,"[0.41512339115542807, 0.41512339115542807, 0.9658953114150263, 0.20091031610912535]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30623,tetrodes,taste_room_and_temp,24,2.550171066,8.114639786,TRUE,0.112390529,0.002192752,4,none,-1.094922858,0.775,-0.161172161,waveforms_24.npy,,"[0.0037875997707152377, 0.0037530309132954754, 0.0037530309132954754, 0.001953125]","[0, 0, 0, 1]",[-1],-1,482,1,"[0.11862456478399583, 0.007231982294352322, 0.007202886624972522, 0.007202886624972522]",[],"[0, 0, 0, 0]",0,,0,"[0.005055700074370133, 0.0066114014826679085, 0.005012287145488675, 0.005012287145488675]",[],"[0, 0, 0, 0]",0,,0,"[0.005033967433128762, 0.0037015245748410913, 0.0037875997707152377, 0.0068359375]",[],"[0, 0, 0, 0]",0,,0,"[0.32175400260045617, 0.020177992266235855, 0.039503466629635, 0.08183477854033505]",[],"[0, 0, 0, 0]",0,,0,"[0.3941582942951567, 0.03936351314079677, 0.07575268761638217, 0.010653833480139707]",[],"[0, 0, 0, 0]",0,,0,0.300333333,TRUE,0.374666667,0.300333333,,,,1,0.486524823,-0.015291839,
CB340,M,30623,tetrodes,taste_room_and_temp,33,3.591180278,14.16694418,TRUE,0.056675313,0.002192752,4,none,-7.461491935,0.825,-0.277703605,waveforms_33.npy,,"[0.041644602248798485, 0.04154006700988516, 0.04154006700988516, 0.04154006700988516]",[],"[0, 0, 0, 0]",0,,0,"[0.37037462299283663, 0.1742313882480251, 0.08203664585103046, 0.08203664585103046]",[],"[0, 0, 0, 0]",0,,0,"[0.022763792078605412, 0.012179368413296589, 0.011496139822287725, 0.011921001496914019]",[],"[0, 0, 0, 0]",0,,0,"[0.314038932973563, 0.314038932973563, 0.08155620037935116, 0.08155620037935116]",[],"[0, 0, 0, 0]",0,,0,"[0.0007855958622336952, 0.0009253671490146134, 0.00044756823945289764, 0.00047446827912577384]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,90,1,"[0.00015983133069411807, 0.00019980774896044846, 0.0004763722742160682, 0.00015786704221475446]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,222,1,,,,,FALSE,0.532307692,0.585,,,,1
CB340,M,30623,tetrodes,taste_room_and_temp,47,1.034979143,6.282143768,TRUE,1.364693567,0.004385505,8,none,-1.528568042,0.9,-0.232142857,waveforms_47.npy,,"[0.7864570351373765, 0.8925765001210193, 0.36453790166255806, 0.7871965949178952]",[],"[0, 0, 0, 0]",0,,0,"[0.49624247444426295, 0.4093553268516461, 0.9641135842918592, 0.6807533824170628]",[],"[0, 0, 0, 0]",0,,0,"[0.03966867046306654, 0.021889518120566134, 0.03907634890069298, 0.03966867046306654]",[],"[0, 0, 0, 0]",0,,0,"[0.24255954990194195, 0.08780141825756142, 0.08764135528047436, 0.059955474296697876]",[],"[0, 0, 0, 0]",0,,0,"[0.14880085132732987, 0.14880085132732987, 0.7114586992542148, 0.2281767443916134]",[],"[0, 0, 0, 0]",0,,0,"[0.41657285171122305, 0.42904776291202706, 0.4594241246032428, 0.6498154474797619]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30623,tetrodes,taste_room_and_temp,48,0.728541992,17.92025867,TRUE,0,0,0,none,-6.544493882,0.875,-0.248241913,waveforms_48.npy,,"[1.0, 1.0, 0.3200384755260307, 0.3197670634951788]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 0.04133118229834349, 0.3200384755260307, 0.3200384755260307]",[],"[0, 0, 0, 0]",0,,0,"[1.0, 0.5929800980174267, 0.5929800980174267, 1.0]",[],"[0, 0, 0, 0]",0,,0,"[0.5929800980174267, 0.5929800980174267, 0.5929800980174267, 0.5929800980174267]",[],"[0, 0, 0, 0]",0,,0,"[0.41517995543164454, 0.41517995543164454, 0.6647595092675944, 0.6965245300653214]",[],"[0, 0, 0, 0]",0,,0,"[0.2452527593669107, 0.5612789575322481, 0.1345255075435559, 0.2716310585408205]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
CB340,M,30623,tetrodes,taste_room_and_temp,50,11.26033187,11.77979506,TRUE,0.092232917,0.035084039,64,none,-4.509137709,0.425,-0.271808999,waveforms_50.npy,,"[0.0009765625, 0.0009765625, 0.001953125, 0.0009765625]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,56,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,192,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,136,1,"[0.0009765625, 0.0009765625, 0.0009765625, 0.0009765625]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,41,1,"[3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,65,1,"[3.814697265625e-06, 1.1444091796875e-05, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,68,1,0.3204,TRUE,0.425333333,0.3204,TRUE,0.658461538,0.594153846,1,0.417013487,-0.015291839,0
CB340,M,30623,tetrodes,taste_room_and_temp,53,5.490652063,10.21159102,TRUE,0.018183679,0.001644564,3,none,-1.646638655,0.675,-0.172465961,waveforms_53.npy,,"[0.060725896627931646, 0.03976760532307576, 0.039866600875822236, 0.06111155867536276]",[],"[0, 0, 0, 0]",0,,0,"[0.021956318572859897, 0.09949761327306936, 0.08620051517748242, 0.2783203125]",[],"[0, 0, 0, 0]",0,,0,"[0.18948764113539285, 0.7871965949178952, 0.5322732515424332, 0.6238043543743554]",[],"[0, 0, 0, 0]",0,,0,"[0.005055700074370133, 0.01428979906061521, 0.0419921875, 0.04066072250322513]",[],"[0, 0, 0, 0]",0,,0,"[0.00017941387648064754, 1.9073486328125e-05, 0.000209808349609375, 3.814697265625e-06]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,61,1,"[0.0004147845163019478, 0.0016648177481228996, 0.0013364646115994862, 0.0010809577085991481]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1,38,1,,,,,FALSE,0.395384615,0.586307692,,,,0
CB340,M,30623,tetrodes,taste_room_and_temp,54,1.963609793,5.065300661,TRUE,0.047391229,0.000548188,1,none,-1.11566081,0.725,-0.217514124,waveforms_54.npy,,"[0.15859304339099767, 0.27925094536873785, 0.04070603275757012, 0.07688120490870527]",[],"[0, 0, 0, 0]",0,,0,"[0.5774686624272996, 0.3200384755260307, 0.3200384755260307, 0.5774686624272996]",[],"[0, 0, 0, 0]",0,,0,"[0.5772634476440937, 0.31327766284519865, 0.16279692662103762, 0.31327766284519865]",[],"[0, 0, 0, 0]",0,,0,"[0.20288139260769467, 0.15988282240791218, 0.15988282240791218, 0.15988282240791218]",[],"[0, 0, 0, 0]",0,,0,"[0.13729126373667777, 0.13729126373667777, 0.13729126373667777, 0.07234263115166539]",[],"[0, 0, 0, 0]",0,,0,"[0.6269929056401264, 0.41673252437431607, 0.41673252437431607, 0.41673252437431607]",[],"[0, 0, 0, 0]",0,,0,,,,,,,,,,,
