mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,wilc_Cold_,resp_binCold_,sign_binCold_,sign_Cold_,latCold_,resp_Cold_,DV_exact,wilc_Hot_,resp_binHot_,sign_binHot_,sign_Hot_,latHot_,resp_Hot_,wilc_Room_,resp_binRoom_,sign_binRoom_,latRoom_,resp_Room_,sign_Room_,Neuron,Overall SVM Score,95% shuffle,flag_Temp,Anova,T3_0,T3_1,T3_2
CB279,M,121621,tetrodes,temp,8,2.026835835,12.66795313,True,0.032033494,0.000394787,1,none,-5.473790323,0.825,-0.261087866,waveforms_8.npy,"[0.21258870742504343, 0.022745413046232947, 0.12480725765883566, 0.5709118314052984]",[],"[0, 0, 0, 0]",0,,0,,"[0.604246276856859, 0.8192918897876457, 0.9449043043110882, 0.7360278339675455]",[],"[0, 0, 0, 0]",0,,0,"[0.010158364008341483, 0.002111302338881768, 0.0619952465485228, 0.8870179024360471]","[0, 1, 0, 0]",[-1],203.0,1,-1,0.0,0.506206897,0.389206897,True,1.0,0.9411764705882354,0.05882352941176471,1.0
CB279,M,121621,tetrodes,temp,20,10.06588105,4.480607143,True,0.040262391,0.012238393,31,none,-0.769293924,0.625,-0.228494624,waveforms_20.npy,"[1.862645149230957e-08, 3.4600115599471438e-06, 7.078051567077637e-08, 2.6556030802117622e-06]","[1, 1, 1, 1]","[-1, -1, 1, 1]",-1,66.0,1,,"[2.6663352348651013e-06, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, -1, -1]",1,77.0,1,"[4.0978193283081055e-07, 9.424984455108643e-07, 5.2682055693966045e-06, 2.60770320892334e-07]","[1, 1, 1, 1]","[1, 1, 1, 1]",113.0,1,1,1.0,0.635172414,0.394,True,1.0,0.5882352941176471,1.0,0.6218487394957983
CB279,M,121621,tetrodes,temp,44,23.31098083,10.64445313,True,0.00581208,0.009474885,24,none,-3.894862653,0.275,-0.370622568,waveforms_44.npy,"[3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, 1, -1]",1,53.0,1,,"[3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, -1, -1, -1]",1,49.0,1,"[2.6879074436509225e-06, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",46.0,1,1,2.0,0.508965517,0.395275862,True,1.0,1.0,0.8560311284046692,0.9377431906614786
CB279,M,121621,tetrodes,temp,48,2.25778616,18.18974194,True,0.025815221,0.000394787,1,none,-5.09305358,0.825,-0.207650273,waveforms_48.npy,"[0.021438097356157718, 0.05942904775679776, 0.19307440932005526, 0.35859452536075653]",[],"[0, 0, 0, 0]",0,,0,,"[0.07288684576389003, 0.2304725771939219, 0.9305030675626945, 0.18207375890656696]",[],"[0, 0, 0, 0]",0,,0,"[0.0032728474455328903, 0.9825849301918772, 0.6473635342387118, 0.47162315532524945]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB279,M,121621,tetrodes,temp,51,26.25214308,5.429725,True,0.018903713,0.039083901,99,none,-3.369950739,0.5,-0.255255255,waveforms_51.npy,"[1.1175870895385742e-08, 1.2293457984924316e-07, 8.757476232837807e-06, 7.078051567077637e-08]","[1, 1, 1, 1]","[-1, -1, 1, 1]",-1,90.0,1,,"[3.725290298461914e-09, 7.180819544212856e-06, 1.2293457984924316e-07, 4.265215444720364e-06]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,213.0,1,"[2.662753861734765e-06, 9.313225746154785e-08, 1.1175870895385742e-08, 1.1175870895385742e-08]","[1, 1, 1, 1]","[-1, 1, 1, 1]",90.0,1,-1,4.0,0.597931034,0.425103448,True,1.0,0.1440677966101695,1.0,0.2966101694915254
CB279,M,121621,tetrodes,temp,54,3.087233392,12.20051471,True,0.276142037,0.007895738,20,none,-5.767980296,0.925,-0.254084967,waveforms_54.npy,"[9.998581421385495e-06, 0.0001583043961990624, 0.0001883493674974804, 3.532902846378715e-05]","[1, 1, 1, 1]","[-1, 1, -1, -1]",-1,4.0,1,,"[1.9257474475894937e-05, 0.0005124160025662778, 0.000340711824597819, 1.6563745454604367e-05]","[1, 1, 1, 1]","[1, 1, 1, -1]",1,160.0,1,"[4.4891346822043565e-05, 0.0013593938078228192, 0.0005767549782744558, 0.000265070577931711]","[1, 1, 1, 1]","[-1, 1, 1, -1]",323.0,1,-1,5.0,0.524137931,0.403482759,True,1.0,0.07142857142857142,1.0,0.6
CB279,M,121621,tetrodes,temp,63,3.474124533,11.22122727,True,0.239868584,0.008685311,22,none,-4.472268908,0.825,-0.235597592,waveforms_63.npy,"[0.1230549172059521, 0.33823468974982096, 0.19604185599338597, 0.12019492910500444]",[],"[0, 0, 0, 0]",0,,0,,"[0.2122121866237746, 0.1203159092883073, 0.6478570461305053, 0.7250940359617389]",[],"[0, 0, 0, 0]",0,,0,"[0.11667912481970609, 0.4963808912225952, 0.8666045051994098, 0.453996556570067]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB279,M,121421,tetrodes,temp,6,1.455537952,11.635125,True,0.306163641,0.001945906,5,none,-4.788314176,0.975,-0.235137533,waveforms_6.npy,"[0.0359856625327809, 0.026856695507524397, 0.04503612235741598, 0.02567018830133838]",[],"[0, 0, 0, 0]",0,,0,,"[0.10319603253895338, 0.17584801524108684, 0.10343284918984173, 0.111205884713066]",[],"[0, 0, 0, 0]",0,,0,"[0.03410854385762069, 0.040170149875306545, 0.028806981637500843, 0.15209860080581447]",[],"[0, 0, 0, 0]",,0,0,,,,,,0.0,0.0,0.0
CB279,M,121421,tetrodes,temp,9,14.61842688,4.326103448,True,0.065562145,0.042031577,108,none,-13.42857143,0.15,-0.529255319,waveforms_9.npy,"[9.5367431640625e-07, 1.430511474609375e-06, 1.430511474609375e-06, 4.76837158203125e-07]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,34.0,1,,"[1.2871223301740316e-05, 3.9860164327134e-06, 5.21540641784668e-08, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,43.0,1,"[3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09, 3.725290298461914e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",58.0,1,1,1.0,0.631111111,0.428888889,True,1.0,0.8484848484848485,1.0,0.8695301472070983
CB279,M,121421,tetrodes,temp,14,14.48221344,5.468267857,True,0.094016564,0.059155553,152,none,-17.3,0.15,-0.336170213,waveforms_14.npy,"[4.76837158203125e-07, 4.76837158203125e-07, 1.430511474609375e-06, 4.76837158203125e-07]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,82.0,1,,"[5.186679967706104e-06, 1.765042543411255e-05, 2.1478778989258187e-05, 7.450580596923828e-09]","[1, 1, 1, 1]","[1, 1, 1, 1]",1,114.0,1,"[2.660964671406464e-06, 2.6449067682307257e-06, 3.725290298461914e-09, 2.6843020618619145e-06]","[1, 1, 1, 1]","[1, 1, 1, 1]",94.0,1,1,2.0,0.514074074,0.428222222,True,1.0,0.9103535353535354,1.0,0.764367816091954
