Unnamed: 0,mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,DV_exact,wilc_WaterCold,resp_binWaterCold,sign_binWaterCold,sign_WaterCold,latWaterCold,resp_WaterCold,wilc_WaterHot,resp_binWaterHot,sign_binWaterHot,sign_WaterHot,latWaterHot,resp_WaterHot,wilc_SalivaCold,resp_binSalivaCold,sign_binSalivaCold,sign_SalivaCold,latSalivaCold,resp_SalivaCold,wilc_SalivaHot,resp_binSalivaHot,sign_binSalivaHot,sign_SalivaHot,latSalivaHot,resp_SalivaHot,95% shuffle,SVM_W,SVM_AS
0,CB344,F,32123,tetrodes,water_and_saliva,0,2.231990849,10.3741922,True,0.152937536,0.002285705,4,none,-4.332720588,0.7,-0.298701299,waveforms_0.npy,,"[0.24176021709923112, 0.24493657804646662, 0.1345255075435559, 0.3314534381983457]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6547208460185769, 0.39496948314223257, 0.22358752871515342, 0.06337852903654981]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.41517995543164454, 0.931876195550456, 0.931876195550456, 0.20277372410193562]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.9566061566097346, 0.38399076769259977, 0.6588700180742062, 0.7672279292125377]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
1,CB344,F,32123,tetrodes,water_and_saliva,7,5.353120909,4.015181138,True,0.046528907,0.003999984,7,none,-9.344685243,0.3,-1.127147766,waveforms_7.npy,,"[0.061809560226683304, 0.12869583589235972, 0.01045949357968552, 0.013175924573916448]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.058024231516037104, 0.15213644627172362, 0.04252247799805163, 0.017461228555695794]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.016991828067202917, 0.02004590830262348, 0.04705731229834815, 0.010659264317963605]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.030205131615693936, 0.018341996104939588, 0.10330400241215147, 0.13001428936560597]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
2,CB344,F,32123,tetrodes,water_and_saliva,10,6.487973399,10.39136869,True,0.009050046,0.001142852,2,none,-2.437246964,0.75,-0.174193548,waveforms_10.npy,,"[0.6963890414620633, 0.9658953114150263, 0.2091408995034536, 0.00557814205374007]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.1551471763664046, 0.5348411936820631, 0.8673900462659996, 0.15090911675799237]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.38703077322877055, 0.08148270038036348, 0.5689138055183518, 0.7768535839345506]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.8131598660630464, 0.4633012740200948, 0.5840103028884087, 0.16013652427291714]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
3,CB344,F,32123,tetrodes,water_and_saliva,14,6.185688924,19.05369108,True,0.024890451,0.002857131,5,none,-6.328903959,0.725,-0.279784781,waveforms_14.npy,,"[0.0005103215439989474, 0.00045942870011930704, 0.0001953375847038145, 0.0003533727684567578]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,196.0,1.0,"[0.006672776703754246, 0.010096037467724367, 0.079681396484375, 0.04495004377553356]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.0006361594424557884, 0.00027591726518209556, 0.0004694171500141583, 0.001888999879342048]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,0.0,1.0,"[0.019952239660951842, 0.030458804886783576, 0.03921885580691888, 0.08080891783401575]",[],"[0, 0, 0, 0]",0.0,,0.0,0.5728333333333334,0.5566666666666668,0.6083333333333333
4,CB344,F,32123,tetrodes,water_and_saliva,15,0.797139589,5.43058111,True,0.0,0.0,0,none,-0.665876503,1.35,-0.155555556,waveforms_15.npy,,"[1.0, 1.0, 1.0, 1.0]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 1.0, 1.0, 0.6547208460185769]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 1.0, 1.0, 0.6698153575994166]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6463551955394902, 1.0, 0.38399076769259977, 1.0]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
5,CB344,F,32123,tetrodes,water_and_saliva,18,0.814853802,17.66834628,True,0.0,0.0,0,none,-5.807410237,0.75,-0.262195122,waveforms_18.npy,,"[0.7288003238830699, 0.6698153575994166, 0.9824304503697668, 0.6698153575994166]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.39489095121872864, 0.39489095121872864, 0.5400887087442459, 0.6849767938582665]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.01977692651618802, 0.038815058112415736, 0.04110876174973941, 0.019977067665816303]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6390225161873718, 0.38399076769259977, 0.9133724990484696, 0.9133724990484696]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
6,CB344,F,32123,tetrodes,water_and_saliva,19,2.002848931,27.11254485,True,0.047483479,0.000571426,1,none,-6.480566281,0.725,-0.213755567,waveforms_19.npy,,"[0.24493657804646662, 0.1345255075435559, 0.6780736542711809, 0.5610259094614841]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6547208460185769, 0.6849767938582665, 0.31089296252999865, 0.3114834000098363]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6698153575994166, 0.9824304503697668, 0.9824304503697668, 0.6965245300653214]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.21445475776445078, 0.21445475776445078, 0.5907838565736092, 0.38432029861699224]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
7,CB344,F,32123,tetrodes,water_and_saliva,47,7.845110692,9.974972441,True,0.003094858,0.000571426,1,none,-2.815686275,0.85,-0.268361582,waveforms_47.npy,,"[0.253887299829074, 0.43398928775100887, 0.17609777149412875, 0.007582071270952388]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.08115255780438747, 0.02337798458802707, 0.19765097495834139, 0.17999688776128175]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.37537151545679415, 0.438711756942918, 0.5409650108725729, 0.28151007147718443]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.003083462273695853, 0.0010829297216615771, 0.0074807728535648075, 0.11288644326125208]","[0, 1, 0, 0]",[-1],-1.0,89.0,1.0,,,
9,CB344,F,32123,tetrodes,water_and_saliva,49,12.04337919,5.654372308,True,0.003939703,0.001714279,3,none,-3.212701613,0.725,-0.417040359,waveforms_49.npy,,"[0.06506370687881986, 0.41512339115542807, 0.9318684346874017, 0.9318684346874017]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7376980230507604, 0.08850842259552075, 0.035630581768049, 0.11938481155821559]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.14709040235711604, 0.04132428126582747, 0.039127595355687696, 0.019977067665816303]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.03921885580691888, 0.008613255328668901, 0.015978735626502833, 0.03472359738430303]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
10,CB344,F,32123,tetrodes,water_and_saliva,63,17.03421587,6.843607532,True,0.054484468,0.047428377,83,none,-1.702380952,0.575,-0.231441048,waveforms_63.npy,,"[3.814697265625e-05, 3.814697265625e-05, 3.814697265625e-06, 3.814697265625e-06]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,123.0,1.0,"[0.002441590246225147, 0.0013881014503419606, 0.0001068115234375, 0.0003204270503762641]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,57.0,1.0,"[2.6702880859375e-05, 1.1444091796875e-05, 7.2479248046875e-05, 3.814697265625e-06]","[1, 1, 1, 1]","[-1, 1, -1, -1]",-1.0,12.0,1.0,"[3.0517578125e-05, 3.0517578125e-05, 3.0517578125e-05, 3.0517578125e-05]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,197.0,1.0,0.6351666666666665,0.41666666666666663,0.5666666666666667
