,Dec,Position
0,0.547586207,zero
1,0.520689655,zero
2,0.548965517,zero
3,0.556551724,zero
4,0.5,zero
5,0.56137931,zero
6,0.435862069,zero
7,0.442758621,zero
8,0.547586207,zero
9,0.470344828,zero
10,0.533793103,zero
11,0.423448276,zero
12,0.422068966,zero
13,0.595862069,zero
14,0.460689655,zero
15,0.410344828,zero
16,0.552413793,zero
17,0.507586207,zero
18,0.54137931,one
19,0.44137931,one
20,0.550344828,one
21,0.4,one
22,0.450344828,one
23,0.533793103,one
24,0.644827586,one
25,0.751724138,one
26,0.537241379,one
27,0.510344828,one
28,0.493103448,one
29,0.584137931,one
30,0.482068966,one
31,0.549655172,one
32,0.508965517,one
33,0.406896552,one
34,0.586206897,two
35,0.409655172,two
36,0.510344828,two
37,0.537241379,two
38,0.451724138,two
39,0.702068966,two
40,0.493793103,two
41,0.442758621,two
42,0.562068966,two
43,0.412413793,two
44,0.495862069,three
45,0.475862069,three
46,0.453793103,three
47,0.586206897,three
48,0.435172414,three
49,0.63862069,three
50,0.49862069,three
51,0.488965517,three
